rank_index,Query_mean,Query_std,Key_mean,Key_std,Value_mean,Value_std,Attn_Output_mean,Attn_Output_std,FFN_Inter_mean,FFN_Inter_std,FFN_Output_mean,FFN_Output_std
156,0.30279556,0.04902822,0.27297014,0.033554718,0.4666023,0.062481623,0.4575591,0.06728077,0.21431786,0.021766828,0.31166354,0.05577434
157,0.30186132,0.048844907,0.27224785,0.03346824,0.46526828,0.062305264,0.4562907,0.067224346,0.2139581,0.021643085,0.3111363,0.055637907
158,0.30104175,0.048834033,0.2711652,0.03328615,0.4640887,0.06202685,0.4552065,0.0671521,0.21356489,0.021691775,0.31068376,0.055695046
159,0.30010802,0.048925247,0.27037254,0.03314092,0.4627589,0.062287264,0.4541916,0.06728969,0.21334018,0.021672849,0.31009647,0.05565306
160,0.2991524,0.048716668,0.26956144,0.033001505,0.46148667,0.062214553,0.45301542,0.06712349,0.21304381,0.021640157,0.3096955,0.055641808
161,0.29834127,0.04856812,0.26878998,0.03282754,0.4605768,0.06209564,0.4519298,0.06706876,0.21265228,0.021673612,0.30913106,0.055474084
162,0.29765916,0.04851774,0.2679423,0.032841027,0.45913804,0.06183791,0.4507015,0.067060776,0.21227115,0.02157304,0.3086335,0.055244975
163,0.2966749,0.048201695,0.2670746,0.03265509,0.4579656,0.062183186,0.4493936,0.066662826,0.2119847,0.021591501,0.30815688,0.055204075
164,0.29575202,0.047986247,0.26637208,0.03270021,0.4566172,0.06235827,0.44846773,0.066867046,0.21166326,0.021449344,0.307677,0.055120084
165,0.29476914,0.04781258,0.26557523,0.03248951,0.45523855,0.062083367,0.44735655,0.066947885,0.2113824,0.021440893,0.3071116,0.05505909
166,0.29382017,0.047824714,0.26483425,0.03249886,0.45421764,0.06182016,0.4462905,0.06676689,0.2109841,0.021463059,0.30660227,0.05500178
167,0.29292366,0.04771505,0.26395494,0.032155395,0.45254707,0.06182895,0.4452474,0.06674125,0.21067692,0.021418504,0.30626944,0.05505891
168,0.2919947,0.047349494,0.26331908,0.03227175,0.45170942,0.061854985,0.4441613,0.06668762,0.21035685,0.021466387,0.30573887,0.054921348
169,0.2911972,0.04730404,0.26248223,0.032222427,0.45076838,0.061926506,0.44317746,0.06682457,0.21004795,0.021382619,0.30521664,0.054692626
170,0.2901679,0.047004554,0.2616026,0.03216138,0.44928357,0.061712917,0.44223452,0.0668696,0.20970865,0.021278592,0.30476806,0.054685254
171,0.2891933,0.046795174,0.2607549,0.031997886,0.4479196,0.06169128,0.44133624,0.06695781,0.20938466,0.02123547,0.30433127,0.05458114
172,0.2882624,0.046710454,0.26005968,0.03198688,0.44710684,0.061916683,0.44016162,0.066760056,0.20911916,0.021264486,0.30395085,0.054434452
173,0.28753507,0.04672908,0.2593136,0.03211221,0.44552383,0.06175037,0.43917015,0.06700151,0.20872457,0.021088744,0.30356935,0.05443642
174,0.28656623,0.046427093,0.2583141,0.03195033,0.44458652,0.06171988,0.43831202,0.066760026,0.20844364,0.021084437,0.3030069,0.05431701
175,0.28568146,0.046225406,0.2575484,0.03178684,0.4434651,0.062007505,0.43712997,0.0669141,0.20816137,0.021039458,0.30256948,0.054244425
176,0.2845971,0.046087865,0.25692275,0.031734616,0.4422526,0.061857447,0.43595386,0.066923775,0.20779675,0.020978093,0.30222657,0.05420777
177,0.28385314,0.045788597,0.2560196,0.031490926,0.44114348,0.061688043,0.4349974,0.06673656,0.2074904,0.020948384,0.30177763,0.054087523
178,0.28315297,0.045768276,0.25527063,0.03148325,0.44017872,0.06172861,0.43386808,0.06682957,0.20717257,0.020910108,0.30129656,0.05414284
179,0.28207806,0.045419075,0.25444642,0.031457856,0.4388039,0.06171117,0.43301186,0.06694586,0.20694983,0.020904994,0.3007791,0.05395736
